Date,1 Mo,1.5 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2016-01-04,0.17,,,0.22,,0.49,0.61,1.02,1.31,1.73,2.06,2.24,2.64,2.98
2016-01-05,0.2,,,0.2,,0.49,0.68,1.04,1.32,1.73,2.06,2.25,2.67,3.01
2016-01-06,0.21,,,0.21,,0.47,0.67,0.99,1.26,1.65,1.98,2.18,2.59,2.94
2016-01-07,0.2,,,0.2,,0.46,0.66,0.96,1.22,1.61,1.94,2.16,2.56,2.92
2016-01-08,0.2,,,0.2,,0.45,0.64,0.94,1.2,1.57,1.91,2.13,2.55,2.91
2016-01-11,0.19,,,0.21,,0.48,0.63,0.94,1.2,1.58,1.94,2.17,2.59,2.96
2016-01-12,0.22,,,0.21,,0.47,0.62,0.93,1.18,1.55,1.88,2.12,2.51,2.89
2016-01-13,0.22,,,0.22,,0.46,0.6,0.91,1.15,1.51,1.85,2.08,2.47,2.85
2016-01-14,0.22,,,0.25,,0.43,0.55,0.9,1.14,1.52,1.87,2.1,2.51,2.9
2016-01-15,0.19,,,0.24,,0.37,0.49,0.85,1.08,1.46,1.79,2.03,2.44,2.81
2016-01-19,0.21,,,0.26,,0.37,0.48,0.88,1.11,1.49,1.82,2.06,2.45,2.82
2016-01-20,0.26,,,0.26,,0.35,0.43,0.85,1.06,1.44,1.76,2.01,2.41,2.77
2016-01-21,0.27,,,0.28,,0.38,0.44,0.84,1.06,1.44,1.77,2.02,2.42,2.79
2016-01-22,0.26,,,0.31,,0.41,0.47,0.88,1.11,1.49,1.81,2.07,2.46,2.83
2016-01-25,0.25,,,0.31,,0.42,0.47,0.88,1.1,1.47,1.79,2.03,2.42,2.8
2016-01-26,0.29,,,0.31,,0.45,0.47,0.85,1.07,1.45,1.76,2.01,2.41,2.79
2016-01-27,0.28,,,0.32,,0.43,0.47,0.84,1.07,1.43,1.76,2.02,2.42,2.8
2016-01-28,0.26,,,0.35,,0.45,0.47,0.83,1.05,1.4,1.75,2.0,2.41,2.79
2016-01-29,0.22,,,0.33,,0.43,0.47,0.76,0.97,1.33,1.67,1.94,2.36,2.75
2016-02-01,0.19,,,0.35,,0.47,0.47,0.81,1.01,1.38,1.72,1.97,2.38,2.77
2016-02-02,0.26,,,0.34,,0.47,0.54,0.75,0.93,1.28,1.61,1.87,2.27,2.67
2016-02-03,0.27,,,0.33,,0.46,0.54,0.72,0.91,1.27,1.61,1.88,2.3,2.7
2016-02-04,0.24,,,0.29,,0.43,0.52,0.7,0.9,1.25,1.6,1.87,2.29,2.7
2016-02-05,0.23,,,0.3,,0.45,0.55,0.74,0.91,1.25,1.58,1.86,2.27,2.68
2016-02-08,0.21,,,0.32,,0.42,0.51,0.66,0.83,1.16,1.48,1.75,2.17,2.56
2016-02-09,0.27,,,0.3,,0.43,0.52,0.69,0.85,1.15,1.47,1.74,2.16,2.55
2016-02-10,0.27,,,0.31,,0.42,0.52,0.71,0.85,1.15,1.46,1.71,2.13,2.53
2016-02-11,0.27,,,0.28,,0.39,0.47,0.64,0.81,1.11,1.39,1.63,2.06,2.5
